1,"Oh wonderful. 
I love playing babysitter to my coworkers.",0
1,"RT @jane_inprogress: #Trump isn't panicking at all, is he?* 😂😂😂

*extreme sarcasm https://t.co/UTLbEPVJGK",1
1,"@DrShayPhD Why yes, yes he did.  #Trump He’s totally competent to lead the country.",1
1,"RT @NeilClark66: But how can this be after all those ‘Covidiots’ who went to the beach when it was hot &amp;
sunny two weeks ago? #sarcasm.",1
1,@KeithM70063940 Yes.  Sarcasm....,1
1,RT @CJosephsjr: @marshaelavon_ Oven? What's that? (sarcasm),2
1,RT @WayneDupreeShow: Race relations are a lot better in Baltimore now after Christopher Columbus statue was torn down (sarcasm),1
1,"[insert sarcasm here]  Ain't life grand? 

https://t.co/YRJVPAg8SN",0
1,"That's it! Police murder has stopped...racism has been defeated!
#sarcasm https://t.co/fnviPuzW95",0
1,"@Pod3TwoOne @FullFrontalSamB No. That would imply we care about teachers, that they’re essential, and that they should get hazard pay. We don’t want those fat cats thinking they should get paid anything above the measly pennies they’re offered now to shape the future generations. *sarcasm*",2
1,"Yeah, I'm sure that keeping the students safe has nothing to do with a code that will work to stop transmission of Covid. (sarcasm intended). 

And if university students can't follow safety codes, what makes anyone think a class full of 10 year old kids can? https://t.co/V5cid9NJi8",1
1,I am *shocked* to learn that the first two thing on the table for cuts are children’s and women’s health! (This is my sarcasm font) https://t.co/VzzjLVQQz4,
1,@madrid_mike The important question (asked without sarcasm) is why did his doctors feel the need to administer a cognitive test? And what else happened during this mysterious visit to Walter Reed? Why did he go?,1
0,"@ddale8 “That's an unbelievable thing. Rarely does anybody do what you just did.'""",1
0,RT @mistrustme1: People who don’t get sarcasm are my favorite people,1
1,"@ScottHallMU But this is no worse than H1N1, right? &lt;sarcasm&gt;",1
1,"@aderralandy45 @darakass @KingKathy11 As soon as we can end this epidemic of testing and social distancing, and this exponential growth of mask use, then we can get back to making sure billionaires are well taken care of!

We need trickle-down healthcare too!",3
1,"If you want to really understand Russia, all you have to comprehend is the genesis of the ultimate cynicism and how to express flat sarcasm.",0
1,"@ddale8 Right?! So boring, all those people getting COVID-19 and exposing their kinfolk and, in the most inconvenient instances, DYING. All to thwart Donald Trump, too! #Sarcasm #EffOff #WeDontHaveAPresident",1
1,"@sistronk @KING5Seattle I guess nuking Seattle is out of the question?  No, no that would be wrong.  What about millions of genetically engineered murder hornets?  Yeah that's the ticket.  Then they have a fighting chance. ",2
1,"How dare these people opt out of dying unnecessarily for your entertainment @ChuckGrassley *sarcasm* 
#Kakistocracy #Coroanvirus https://t.co/WGfzhTBjnC",1
1,"@steve_asbell It's not like her autistic kids probably don't hear her talking like this (because they hear EVERYTHING) and internalizing it for the rest of their lives or anything, oh no, of COURSE",1
1,@z3r0fox @mzbat The vehicle was just sitting there minding its own business when out of nowhere these cunning villains threw themselves under its wheels (this is very heavy sarcasm in case it isn't obvious),2
1,@pwaldkirch Sun doesn't shine past 2pm??!?!!??????! (Sarcasm),1
1,My nephew is a portrait of virtuousness. That nasty little bastard!!!,0
1,@BlakeBailey13 @fasttonys @BriMW14 @LASDHQ Oh yes I forgot the LA sheriff's office long history of reporting totally accurate foolproof FACTS!!!,4
1,@orntwo @KySportsRadio .... remember when Matt was funny and edgy with ironic takes on radio? I sure don’t.,2
1,These are totally not going to be hijacked out of classrooms.  https://t.co/e2q2pw2GPE,0
1,"@sarcasm_social @ProjectLincoln This begs the question, “Are you smarter than a fifth grader”?               

Clearly not.",2
1,RT @amyewalter: And media + social media + partisans are *really* good at patience (sarcasm).,1
1,Ah right cause COVID is gonna wait till post game to come and play.  Makes total sense (sarcasm intended). https://t.co/3Z7gc0PDm0 https://t.co/aLaWQnV5zz,0
1,"The great legacy of western civilization *sarcasm* -""The passenger told the flight attendant that he ""woke up in a free country this morning"" and described the coronavirus as a ""hoax,"" before ultimately being removed from the flight."" https://t.co/jBVTd8mofD",0
1,"""Wow. We have cabbage. Why even go shopping?""   — https://t.co/89r0s6oSzZ",0
1,"@MelissaStone4 Very few people speak sarcasm. It’s a forgotten language, not used enough.",1
1,@TravelinMedTech @MayorMemphis But he is Bill Nye the Science Guy we should be sheep and do what he says. But he was fun to watch on tv.,2
